iter	RMSE
0	114795.2358
1	114163.3957
2	113481.598
3	112855.0557
4	112272.5875
5	111626.0105
6	111027.9994
7	110371.5742
8	109734.8187
9	109160.1956
10	108580.1756
11	108023.7406
12	107461.9348
13	106909.3599
14	106319.9582
15	105744.9474
16	105156.6268
17	104627.6555
18	104052.3017
19	103569.6848
20	103058.3646
21	102509.4589
22	101967.6724
23	101425.0558
24	100955.6093
25	100434.2576
26	99969.96259
27	99501.51968
28	98993.45116
29	98498.39336
30	98000.6387
31	97526.96684
32	97065.6447
33	96603.35628
34	96136.42182
35	95704.99231
36	95301.48497
37	94872.66024
38	94448.8374
39	94037.10758
40	93595.2786
41	93195.28767
42	92819.74131
43	92421.76287
44	92039.54181
45	91624.23164
46	91254.21516
47	90878.29533
48	90518.46803
49	90116.96326
50	89734.88808
51	89344.84468
52	88975.52779
53	88640.56661
54	88300.35191
55	87974.34673
56	87647.86269
57	87331.9199
58	87006.23306
59	86656.17257
60	86332.10088
61	85975.49201
62	85636.35692
63	85321.71367
64	85020.4525
65	84727.27621
66	84425.50068
67	84135.14609
68	83824.63715
69	83558.70392
70	83248.61023
71	82945.98307
72	82642.52223
73	82376.49343
74	82118.85562
75	81812.01803
76	81547.40146
77	81263.4132
78	80978.89374
79	80695.90171
80	80436.60892
81	80167.85297
82	79935.10262
83	79672.03983
84	79406.97463
85	79146.42725
86	78900.39604
87	78644.99276
88	78399.82387
89	78152.62714
90	77907.69162
91	77684.4348
92	77454.95733
93	77232.60445
94	77001.78206
95	76795.63574
96	76583.12033
97	76358.45551
98	76136.53216
99	75923.16768
100	75726.27786
101	75526.29814
102	75317.85088
103	75114.02998
104	74930.99608
105	74712.98971
106	74540.13953
107	74355.37935
108	74173.79613
109	74008.84239
110	73828.89472
111	73635.26575
112	73447.36574
113	73252.69281
114	73088.88538
115	72917.05175
116	72735.64326
117	72558.67665
118	72377.42744
119	72202.19702
120	72033.6417
121	71856.07238
122	71717.24491
123	71566.36036
124	71417.7164
125	71269.62669
126	71101.23547
127	70955.1218
128	70806.09508
129	70650.64278
130	70522.03483
131	70374.20618
132	70242.51386
