iter	Passed	Remaining
0	41	41738
1	72	35956
2	107	35651
3	143	35821
4	173	34508
5	239	39641
6	290	41241
7	455	56440
8	634	69918
9	684	67728
10	730	65695
11	756	62311
12	815	61928
13	834	58754
14	847	55648
15	867	53347
16	887	51299
17	911	49735
18	931	48089
19	950	46565
20	967	45110
21	986	43845
22	1004	42677
23	1023	41625
24	1036	40423
25	1052	39419
26	1077	38822
27	1092	37930
28	1109	37146
29	1125	36406
30	1141	35671
31	1160	35092
32	1174	34410
33	1194	33929
34	1210	33376
35	1225	32821
36	1240	32275
37	1254	31750
38	1266	31204
39	1280	30743
40	1296	30320
41	1311	29925
42	1336	29750
43	1358	29522
44	1386	29423
45	1406	29169
46	1422	28843
47	1437	28512
48	1453	28211
49	1519	28864
50	1568	29179
51	1654	30162
52	1684	30105
53	1718	30101
54	1754	30151
55	1784	30075
56	1799	29765
57	1812	29433
58	1825	29115
59	1840	28838
60	1857	28598
61	1885	28533
62	1901	28285
63	1918	28058
64	1934	27824
65	1948	27573
66	1961	27310
67	1971	27025
68	1985	26792
69	1998	26549
70	2010	26306
71	2021	26050
72	2033	25821
73	2045	25595
74	2056	25359
75	2067	25135
76	2081	24946
77	2094	24757
78	2106	24562
79	2117	24354
80	2129	24163
81	2142	23983
82	2152	23782
83	2165	23610
84	2178	23453
85	2191	23289
86	2202	23109
87	2213	22940
88	2225	22778
89	2237	22621
90	2248	22456
91	2259	22303
92	2271	22157
93	2282	21999
94	2294	21858
95	2306	21723
96	2319	21590
97	2332	21471
98	2345	21342
99	2357	21219
100	2369	21090
101	2380	20954
102	2393	20848
103	2408	20750
104	2420	20636
105	2433	20520
106	2443	20394
107	2455	20281
108	2467	20170
109	2480	20067
110	2491	19950
111	2504	19859
112	2517	19763
113	2531	19671
114	2545	19592
115	2562	19530
116	2576	19441
117	2588	19345
118	2602	19269
119	2615	19180
120	2627	19088
121	2639	18992
122	2653	18917
123	2667	18844
124	2681	18771
125	2695	18695
126	2708	18618
127	2719	18525
128	2732	18447
129	2747	18384
130	2760	18309
131	2772	18231
132	2783	18144
133	2797	18081
134	2810	18008
135	2822	17931
136	2832	17844
137	2845	17776
138	2858	17704
139	2871	17636
140	2882	17558
141	2896	17504
142	2910	17444
143	2924	17385
144	2938	17324
145	2948	17245
146	2960	17178
147	2973	17119
148	2985	17051
149	2997	16986
150	3010	16929
151	3023	16869
152	3036	16809
153	3046	16738
154	3058	16673
155	3070	16612
156	3083	16555
157	3094	16489
158	3107	16438
159	3120	16380
160	3135	16338
161	3147	16281
162	3158	16218
163	3170	16162
164	3183	16109
165	3195	16052
166	3205	15990
167	3219	15944
168	3232	15894
169	3243	15833
170	3253	15775
171	3267	15728
172	3280	15682
173	3297	15652
174	3312	15615
175	3326	15576
176	3339	15529
177	3351	15478
178	3364	15429
179	3376	15380
180	3386	15324
181	3398	15276
182	3414	15241
183	3431	15218
184	3445	15177
185	3456	15127
186	3467	15073
187	3480	15030
188	3491	14984
189	3502	14930
190	3513	14881
191	3531	14862
192	3546	14827
193	3558	14783
194	3571	14742
195	3580	14688
196	3592	14644
197	3604	14601
198	3615	14551
199	3628	14515
200	3641	14474
201	3653	14431
202	3663	14382
203	3676	14346
204	3688	14304
205	3700	14262
206	3710	14216
207	3723	14179
208	3736	14140
209	3748	14101
210	3759	14057
211	3772	14020
212	3783	13980
213	3794	13937
214	3806	13896
215	3818	13860
216	3831	13823
217	3842	13783
218	3854	13746
219	3866	13709
220	3877	13667
221	3887	13625
222	3900	13589
223	3912	13553
224	3924	13517
225	3937	13483
226	3952	13457
227	3966	13429
228	3978	13394
229	3988	13353
230	4001	13320
231	4014	13288
232	4026	13253
233	4036	13213
234	4050	13184
235	4067	13166
236	4078	13131
237	4090	13096
238	4101	13059
239	4113	13027
240	4125	12993
241	4135	12952
242	4147	12921
243	4161	12892
244	4173	12860
245	4184	12825
246	4196	12792
247	4208	12762
248	4220	12730
249	4231	12693
250	4242	12660
251	4255	12632
252	4266	12598
253	4278	12565
254	4290	12533
255	4301	12501
256	4312	12466
257	4326	12443
258	4340	12418
259	4352	12388
260	4363	12354
261	4376	12327
262	4389	12300
263	4402	12274
264	4416	12248
265	4428	12220
266	4440	12189
267	4452	12160
268	4466	12136
269	4481	12117
270	4491	12083
271	4504	12055
272	4517	12030
273	4531	12005
274	4541	11973
275	4553	11944
276	4565	11917
277	4576	11885
278	4588	11858
279	4601	11831
280	4612	11802
281	4651	11844
282	4727	11977
283	4776	12042
284	4812	12073
285	4861	12137
286	4905	12187
287	4928	12184
288	4980	12252
289	4998	12237
290	5012	12211
